"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.751419010E-1,-5.150000006E-2,1.030170023E-1,3.074660003E-1,3.283292465E-1
7.801420160E-1,-5.150000006E-2,1.030170023E-1,3.074660003E-1,3.283292465E-1
7.851421310E-1,-5.150000006E-2,1.030170023E-1,3.074660003E-1,3.283292465E-1
7.901407460E-1,-5.817899853E-2,1.096220016E-1,2.938579917E-1,3.189894957E-1
7.951393630E-1,-5.817899853E-2,1.096220016E-1,2.938579917E-1,3.189894957E-1
8.001384890E-1,-5.817899853E-2,1.096220016E-1,2.938579917E-1,3.189894957E-1
8.051376040E-1,-5.817899853E-2,1.096220016E-1,2.938579917E-1,3.189894957E-1
8.101362180E-1,-6.844499707E-2,1.151269972E-1,2.828379869E-1,3.129477112E-1
8.151348350E-1,-6.844499707E-2,1.151269972E-1,2.828379869E-1,3.129477112E-1
8.201339250E-1,-6.844499707E-2,1.151269972E-1,2.828379869E-1,3.129477112E-1
8.251330020E-1,-6.844499707E-2,1.151269972E-1,2.828379869E-1,3.129477112E-1
8.301317310E-1,-6.891199946E-2,1.259219944E-1,2.741439939E-1,3.094513560E-1
8.351304640E-1,-6.891199946E-2,1.259219944E-1,2.741439939E-1,3.094513560E-1
8.401303490E-1,-6.891199946E-2,1.259219944E-1,2.741439939E-1,3.094513560E-1
8.451302320E-1,-6.891199946E-2,1.259219944E-1,2.741439939E-1,3.094513560E-1
8.501286490E-1,-6.588999927E-2,1.425019950E-1,2.568419874E-1,3.010251103E-1
8.551270740E-1,-6.588999927E-2,1.425019950E-1,2.568419874E-1,3.010251103E-1
8.601252660E-1,-6.588999927E-2,1.425019950E-1,2.568419874E-1,3.010251103E-1
8.651234590E-1,-6.588999927E-2,1.425019950E-1,2.568419874E-1,3.010251103E-1
8.701237440E-1,-6.703399867E-2,1.536320001E-1,2.326720059E-1,2.867622896E-1
8.751240130E-1,-6.703399867E-2,1.536320001E-1,2.326720059E-1,2.867622896E-1
8.801231020E-1,-6.703399867E-2,1.536320001E-1,2.326720059E-1,2.867622896E-1
8.851221790E-1,-6.703399867E-2,1.536320001E-1,2.326720059E-1,2.867622896E-1
8.901211410E-1,-7.190799713E-2,1.625510007E-1,2.171149999E-1,2.805931415E-1
8.951201040E-1,-7.190799713E-2,1.625510007E-1,2.171149999E-1,2.805931415E-1
9.001186800E-1,-7.190799713E-2,1.625510007E-1,2.171149999E-1,2.805931415E-1
9.051172570E-1,-7.190799713E-2,1.625510007E-1,2.171149999E-1,2.805931415E-1
9.101156030E-1,-7.684200257E-2,1.703879982E-1,2.096139938E-1,2.808465590E-1
9.151139500E-1,-7.684200257E-2,1.703879982E-1,2.096139938E-1,2.808465590E-1
9.201133480E-1,-7.684200257E-2,1.703879982E-1,2.096139938E-1,2.808465590E-1
9.251127330E-1,-7.684200257E-2,1.703879982E-1,2.096139938E-1,2.808465590E-1
9.301116550E-1,-8.365099877E-2,1.773969978E-1,2.158560008E-1,2.916521858E-1
9.351105780E-1,-8.365099877E-2,1.773969978E-1,2.158560008E-1,2.916521858E-1
9.401091610E-1,-8.365099877E-2,1.773969978E-1,2.158560008E-1,2.916521858E-1
9.451077380E-1,-8.365099877E-2,1.773969978E-1,2.158560008E-1,2.916521858E-1
9.501061990E-1,-8.216799796E-2,1.768119931E-1,2.337460071E-1,3.043866893E-1
9.551046600E-1,-8.216799796E-2,1.768119931E-1,2.337460071E-1,3.043866893E-1
9.601035700E-1,-8.216799796E-2,1.768119931E-1,2.337460071E-1,3.043866893E-1
9.651024930E-1,-8.216799796E-2,1.768119931E-1,2.337460071E-1,3.043866893E-1
9.701008380E-1,-7.541500032E-2,1.764139980E-1,2.482530028E-1,3.137497002E-1
9.750991850E-1,-7.541500032E-2,1.764139980E-1,2.482530028E-1,3.137497002E-1
9.800985790E-1,-7.541500032E-2,1.764139980E-1,2.482530028E-1,3.137497002E-1
9.850979640E-1,-7.541500032E-2,1.764139980E-1,2.482530028E-1,3.137497002E-1
9.900966930E-1,-8.072800189E-2,1.823090017E-1,2.625899911E-1,3.297075762E-1
9.950954240E-1,-8.072800189E-2,1.823090017E-1,2.625899911E-1,3.297075762E-1
1.000093925E0,-8.072800189E-2,1.823090017E-1,2.625899911E-1,3.297075762E-1
1.005092426E0,-8.072800189E-2,1.823090017E-1,2.625899911E-1,3.297075762E-1
1.010091926E0,-9.247999638E-2,1.858810037E-1,2.722820044E-1,3.424058808E-1
1.015091425E0,-9.247999638E-2,1.858810037E-1,2.722820044E-1,3.424058808E-1
1.020089144E0,-9.247999638E-2,1.858810037E-1,2.722820044E-1,3.424058808E-1
1.025086877E0,-9.247999638E-2,1.858810037E-1,2.722820044E-1,3.424058808E-1
1.030085493E0,-9.613999724E-2,1.839579940E-1,2.820729911E-1,3.502122427E-1
1.035084108E0,-9.613999724E-2,1.839579940E-1,2.820729911E-1,3.502122427E-1
1.040082399E0,-9.613999724E-2,1.839579940E-1,2.820729911E-1,3.502122427E-1
1.045080708E0,-9.613999724E-2,1.839579940E-1,2.820729911E-1,3.502122427E-1
1.050079324E0,-9.791500121E-2,1.789129972E-1,2.866530120E-1,3.518055675E-1
1.055077939E0,-9.791500121E-2,1.789129972E-1,2.866530120E-1,3.518055675E-1
1.060075870E0,-9.791500121E-2,1.789129972E-1,2.866530120E-1,3.518055675E-1
1.065073871E0,-9.791500121E-2,1.789129972E-1,2.866530120E-1,3.518055675E-1
1.070072756E0,-1.000489965E-1,1.780489981E-1,2.742089927E-1,3.419090802E-1
